Temperatur	0_M	0,5_M	1_M	1,5_M	2_M	2,5_M	3_M	5_M	10_M
30	0,9959	0,9784	0,9766	0,9733	0,9741	0,9752	0,9744	0,9668	0,9366
31	0,9955	0,9783	0,9765	0,9736	0,9742	0,9752	0,9743	0,9664	0,9361
32	0,9952	0,9781	0,9763	0,9739	0,9743	0,9752	0,9741	0,9660	0,9356
33	0,9948	0,9780	0,9762	0,9742	0,9744	0,9751	0,9740	0,9655	0,9352
34	0,9944	0,9779	0,9760	0,9745	0,9745	0,9751	0,9738	0,9651	0,9347
35	0,9941	0,9778	0,9759	0,9749	0,9746	0,9751	0,9737	0,9647	0,9342
36	0,9937	0,9776	0,9757	0,9752	0,9746	0,9751	0,9736	0,9643	0,9337
37	0,9933	0,9775	0,9756	0,9755	0,9747	0,9751	0,9734	0,9639	0,9332
38	0,9929	0,9774	0,9754	0,9758	0,9748	0,9750	0,9733	0,9634	0,9328
39	0,9926	0,9772	0,9753	0,9761	0,9749	0,9750	0,9731	0,9630	0,9323
40	0,9922	0,9771	0,9751	0,9764	0,9750	0,9750	0,9730	0,9626	0,9318
41	0,9918	0,9770	0,9751	0,9763	0,9748	0,9747	0,9727	0,9623	0,9313
42	0,9913	0,9770	0,9750	0,9761	0,9747	0,9743	0,9723	0,9621	0,9308
43	0,9909	0,9769	0,9750	0,9760	0,9745	0,9740	0,9720	0,9618	0,9303
44	0,9905	0,9769	0,9750	0,9759	0,9743	0,9737	0,9716	0,9615	0,9298
45	0,9900	0,9768	0,9749	0,9758	0,9741	0,9733	0,9713	0,9613	0,9293
46	0,9896	0,9768	0,9749	0,9756	0,9740	0,9730	0,9710	0,9610	0,9288
47	0,9892	0,9767	0,9749	0,9755	0,9738	0,9727	0,9706	0,9607	0,9283
48	0,9887	0,9767	0,9748	0,9754	0,9736	0,9723	0,9703	0,9605	0,9278
49	0,9883	0,9766	0,9748	0,9753	0,9734	0,9720	0,9699	0,9602	0,9273
50	0,9879	0,9766	0,9748	0,9751	0,9733	0,9717	0,9696	0,9599	0,9268
51	0,9874	0,9765	0,9747	0,9750	0,9731	0,9713	0,9693	0,9597	0,9263
52	0,9870	0,9765	0,9747	0,9749	0,9729	0,9710	0,9689	0,9594	0,9258
53	0,9866	0,9764	0,9747	0,9748	0,9727	0,9707	0,9686	0,9591	0,9253
54	0,9861	0,9764	0,9746	0,9746	0,9726	0,9703	0,9682	0,9589	0,9248
55	0,9857	0,9763	0,9746	0,9745	0,9724	0,9700	0,9679	0,9586	0,9243
56	0,9852	0,9763	0,9746	0,9741	0,9720	0,9695	0,9675	0,9582	0,9238
57	0,9847	0,9763	0,9746	0,9737	0,9717	0,9690	0,9670	0,9579	0,9233
58	0,9842	0,9764	0,9746	0,9734	0,9713	0,9684	0,9666	0,9575	0,9228
59	0,9836	0,9764	0,9747	0,9730	0,9710	0,9679	0,9661	0,9571	0,9222
60	0,9831	0,9764	0,9747	0,9726	0,9706	0,9674	0,9657	0,9567	0,9217
61	0,9826	0,9764	0,9747	0,9722	0,9703	0,9669	0,9653	0,9564	0,9212
62	0,9821	0,9764	0,9747	0,9718	0,9699	0,9664	0,9648	0,9560	0,9207
63	0,9816	0,9765	0,9747	0,9715	0,9696	0,9658	0,9644	0,9556	0,9202
64	0,9811	0,9765	0,9747	0,9711	0,9692	0,9653	0,9639	0,9552	0,9197
65	0,9806	0,9765	0,9747	0,9707	0,9689	0,9648	0,9635	0,9549	0,9192
66	0,9801	0,9765	0,9747	0,9703	0,9685	0,9643	0,9631	0,9545	0,9187
67	0,9795	0,9765	0,9748	0,9699	0,9682	0,9638	0,9626	0,9541	0,9181
68	0,9790	0,9766	0,9748	0,9696	0,9678	0,9632	0,9622	0,9537	0,9176
69	0,9785	0,9766	0,9748	0,9692	0,9675	0,9627	0,9617	0,9534	0,9171
70	0,9780	0,9766	0,9748	0,9688	0,9671	0,9622	0,9613	0,9530	0,9166
