Temperatur	0_M	0,5_M	1_M	1,5_M	2_M	2,5_M	3_M	5_M	10_M
30	0,7977	0,9206	1,0265	1,0059	1,0070	0,9933	1,0398	1,1717	1,3938
31	0,7833	0,9010	1,0009	0,9850	0,9854	0,9729	1,0182	1,1456	1,3613
32	0,7688	0,8815	0,9753	0,9642	0,9637	0,9525	0,9965	1,1196	1,3289
33	0,7544	0,8619	0,9497	0,9433	0,9421	0,9321	0,9749	1,0935	1,2964
34	0,7399	0,8423	0,9241	0,9225	0,9205	0,9117	0,9532	1,0674	1,2640
35	0,7255	0,8228	0,8986	0,9016	0,8989	0,8913	0,9316	1,0414	1,2315
36	0,7111	0,8032	0,8730	0,8807	0,8772	0,8708	0,9099	1,0153	1,1990
37	0,6966	0,7836	0,8474	0,8599	0,8556	0,8504	0,8883	0,9892	1,1666
38	0,6822	0,7640	0,8218	0,8390	0,8340	0,8300	0,8666	0,9631	1,1341
39	0,6677	0,7445	0,7962	0,8182	0,8123	0,8096	0,8450	0,9371	1,1017
40	0,6533	0,7249	0,7706	0,7973	0,7907	0,7892	0,8233	0,9110	1,0692
41	0,6434	0,7177	0,7593	0,7840	0,7802	0,7783	0,8093	0,8950	1,0489
42	0,6334	0,7106	0,7480	0,7707	0,7697	0,7673	0,7952	0,8790	1,0286
43	0,6235	0,7034	0,7367	0,7574	0,7591	0,7564	0,7812	0,8629	1,0083
44	0,6135	0,6962	0,7254	0,7442	0,7486	0,7455	0,7671	0,8469	0,9880
45	0,6036	0,6891	0,7141	0,7309	0,7381	0,7346	0,7531	0,8309	0,9677
46	0,5937	0,6819	0,7028	0,7176	0,7276	0,7236	0,7391	0,8149	0,9474
47	0,5837	0,6747	0,6915	0,7043	0,7171	0,7127	0,7250	0,7989	0,9271
48	0,5738	0,6676	0,6803	0,6910	0,7065	0,7018	0,7110	0,7828	0,9069
49	0,5638	0,6604	0,6690	0,6777	0,6960	0,6909	0,6969	0,7668	0,8866
50	0,5539	0,6532	0,6577	0,6644	0,6855	0,6799	0,6829	0,7508	0,8663
51	0,5440	0,6461	0,6464	0,6511	0,6750	0,6690	0,6689	0,7348	0,8460
52	0,5340	0,6389	0,6351	0,6379	0,6645	0,6581	0,6548	0,7188	0,8257
53	0,5241	0,6317	0,6238	0,6246	0,6539	0,6472	0,6408	0,7027	0,8054
54	0,5141	0,6246	0,6125	0,6113	0,6434	0,6362	0,6267	0,6867	0,7851
55	0,5042	0,6174	0,6012	0,5980	0,6329	0,6253	0,6127	0,6707	0,7648
56	0,4975	0,6121	0,5964	0,5939	0,6269	0,6196	0,6057	0,6618	0,7549
57	0,4909	0,6069	0,5915	0,5897	0,6208	0,6139	0,5986	0,6529	0,7450
58	0,4842	0,6016	0,5867	0,5856	0,6148	0,6082	0,5916	0,6440	0,7351
59	0,4775	0,5963	0,5819	0,5815	0,6087	0,6025	0,5845	0,6352	0,7253
60	0,4708	0,5911	0,5770	0,5774	0,6027	0,5968	0,5775	0,6263	0,7154
61	0,4642	0,5858	0,5722	0,5732	0,5967	0,5911	0,5704	0,6174	0,7055
62	0,4575	0,5805	0,5674	0,5691	0,5906	0,5854	0,5634	0,6085	0,6956
63	0,4508	0,5753	0,5625	0,5650	0,5846	0,5796	0,5563	0,5996	0,6857
64	0,4441	0,5700	0,5577	0,5609	0,5785	0,5739	0,5493	0,5907	0,6758
65	0,4375	0,5647	0,5529	0,5567	0,5725	0,5682	0,5422	0,5818	0,6659
66	0,4308	0,5595	0,5480	0,5526	0,5665	0,5625	0,5352	0,5729	0,6560
67	0,4241	0,5542	0,5432	0,5485	0,5604	0,5568	0,5281	0,5641	0,6462
68	0,4174	0,5489	0,5384	0,5444	0,5544	0,5511	0,5211	0,5552	0,6363
69	0,4108	0,5437	0,5335	0,5402	0,5483	0,5454	0,5140	0,5463	0,6264
70	0,4041	0,5384	0,5287	0,5361	0,5423	0,5397	0,5070	0,5374	0,6165
