Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
0.0000	10.000	809.73	0.0012350	-167.24	-167.12	-0.54767	19.780	24.010	1183.7	-0.035164	undefined	undefined	liquid
50.000	10.000	805.04	0.0012422	-155.18	-155.05	-0.50391	20.019	24.245	1166.4	-0.034662	undefined	undefined	liquid
10.000	10.000	800.37	0.0012494	-142.99	-142.87	-0.46050	20.269	24.496	1149.4	-0.034129	undefined	undefined	liquid
15.000	10.000	795.69	0.0012568	-130.68	-130.55	-0.41739	20.528	24.763	1132.7	-0.033563	undefined	undefined	liquid
20.000	10.000	791.01	0.0012642	-118.23	-118.10	-0.37455	20.797	25.046	1116.2	-0.032962	undefined	undefined	liquid
25.000	10.000	786.33	0.0012717	-105.63	-105.51	-0.33194	21.074	25.345	1100.0	-0.032326	undefined	undefined	liquid
30.000	10.000	781.63	0.0012794	-92.882	-92.754	-0.28953	21.360	25.661	1084.0	-0.031654	undefined	undefined	liquid
35.000	10.000	776.91	0.0012872	-79.970	-79.842	-0.24728	21.652	25.992	1068.2	-0.030945	undefined	undefined	liquid
40.000	10.000	772.17	0.0012951	-66.889	-66.760	-0.20517	21.950	26.339	1052.5	-0.030198	undefined	undefined	liquid
45.000	10.000	767.39	0.0013031	-53.630	-53.500	-0.16316	22.254	26.701	1037.0	-0.029413	undefined	undefined	liquid
50.000	10.000	762.58	0.0013113	-40.187	-40.056	-0.12123	22.563	27.079	1021.5	-0.028587	undefined	undefined	liquid
55.000	10.000	757.72	0.0013197	-26.551	-26.419	-0.079356	22.876	27.472	1006.1	-0.027721	undefined	undefined	liquid
60.000	10.000	752.81	0.0013284	-12.714	-12.582	-0.037508	23.192	27.879	990.73	-0.026811	undefined	undefined	liquid
64.148	10.000	748.69	0.0013357	-10.781	-0.94456	-0.0027938	23.457	28.229	977.93	-0.026023	undefined	undefined	liquid
64.148	10.000	12.056	0.82945	1017.8	1100.8	32.635	34.643	44.277	309.54	20.271	undefined	undefined	vapor
65.000	10.000	11.995	0.83371	1021.0	1104.4	32.743	32.489	41.303	310.67	19.809	undefined	undefined	vapor
70.000	10.000	11.688	0.85556	1036.3	1121.8	33.254	23.838	29.744	316.59	16.928	undefined	undefined	vapor
75.000	10.000	11.441	0.87404	1047.7	1135.1	33.638	19.302	23.906	321.48	14.111	undefined	undefined	vapor
80.000	10.000	11.227	0.89070	1057.1	1146.2	33.954	16.841	20.782	325.56	11.698	undefined	undefined	vapor
85.000	10.000	11.034	0.90632	1065.5	1156.1	34.233	15.477	19.048	329.01	97.989	undefined	undefined	vapor
90.000	10.000	10.854	0.92132	1073.2	1165.4	34.490	14.714	18.064	332.02	83.632	undefined	undefined	vapor
95.000	10.000	10.685	0.93591	1080.6	1174.2	34.733	14.290	17.498	334.73	72.860	undefined	undefined	vapor
100.00	10.000	10.524	0.95024	1087.9	1182.9	34.966	14.062	17.175	337.24	64.661	undefined	undefined	vapor
