Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd, (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm, Cond, (W/m*K)	Phase
0,01	1	1000,3	0,0009997	0,018283	1,018	6,60E-05	4,2127	4,215	1403,9	-0,24133	0,0017887	0,56159	liquid
5,01	1	1000,4	0,00099959	21,057	22,056	0,076388	4,201	4,2012	1427,7	-0,23668	0,0015162	0,57105	liquid
10,01	1	1000,1	0,00099987	42,037	43,037	0,15115	4,1869	4,1917	1448,8	-0,23244	0,0013045	0,5805	liquid
15,01	1	999,52	0,0010005	62,978	63,979	0,22446	4,171	4,1854	1467,4	-0,22853	0,0011366	0,58982	liquid
20,01	1	998,62	0,0010014	83,893	84,894	0,29642	4,1534	4,1812	1483,9	-0,22487	0,001001	0,59889	liquid
25,01	1	997,45	0,0010026	104,79	105,79	0,36711	4,1345	4,1787	1498,2	-0,22144	0,00088967	0,60762	liquid
30,01	1	996,05	0,001004	125,68	126,68	0,43659	4,1143	4,1774	1510,7	-0,21817	0,00079709	0,61592	liquid
35,01	1	994,43	0,0010056	146,56	147,57	0,50492	4,0931	4,1769	1521,4	-0,21505	0,00071918	0,62375	liquid
40,01	1	992,61	0,0010074	167,45	168,45	0,57215	4,0708	4,1772	1530,5	-0,21204	0,00065293	0,63105	liquid
45,01	1	990,6	0,0010095	188,33	189,34	0,63832	4,0477	4,178	1538,1	-0,20912	0,00059608	0,63781	liquid
50,01	1	988,42	0,0010117	209,22	210,24	0,70348	4,0238	4,1793	1544,2	-0,20627	0,00054691	0,64402	liquid
55,01	1	986,08	0,0010141	230,12	231,14	0,76766	3,9994	4,1809	1549	-0,20348	0,00050408	0,64969	liquid
60,01	1	983,58	0,0010167	251,03	252,05	0,8309	3,9743	4,183	1552,6	-0,20072	0,00046653	0,65482	liquid
65,01	1	980,94	0,0010194	271,95	272,97	0,89323	3,9489	4,1854	1555,1	-0,19798	0,00043341	0,65944	liquid
70,01	1	978,16	0,0010223	292,88	293,9	0,95468	3,9232	4,1881	1556,5	-0,19524	0,00040406	0,66358	liquid
75,01	1	975,24	0,0010254	313,82	314,85	1,0153	3,8972	4,1913	1556,8	-0,19251	0,00037792	0,66725	liquid
80,01	1	972,19	0,0010286	334,78	335,81	1,0751	3,8711	4,1948	1556,2	-0,18975	0,00035454	0,67048	liquid
85,01	1	969,01	0,001032	355,76	356,8	1,1341	3,8449	4,1988	1554,7	-0,18697	0,00033354	0,6733	liquid
90,01	1	965,71	0,0010355	376,77	377,8	1,1923	3,8188	4,2032	1552,3	-0,18415	0,00031461	0,67575	liquid
95,01	1	962,3	0,0010392	397,79	398,83	1,2498	3,7927	4,2082	1549,1	-0,18127	0,00029749	0,67783	liquid
100,01	1	958,76	0,001043	418,84	419,88	1,3066	3,7667	4,2136	1545,1	-0,17834	0,00028195	0,67959	liquid
